0001113256-17-000116;2017-09-30
0000019149-13-000007;2012-10-31
0001308411-13-000003;2012-09-30
0001213900-13-000396;2012-10-31
0001477932-13-000878;2011-12-31
0001193125-13-062356;2012-12-31
0000700841-13-000008;2012-12-29
0001047469-13-001192;2012-12-31
0000939767-13-000008;2012-12-31
0000941548-13-000010;2012-12-31
0001065280-13-000008;2012-12-31
0001193125-13-069749;2012-12-31
0001165527-13-000126;2012-09-30
0000095552-13-000009;2012-12-31
0000739421-13-000007;2012-12-31
0000867665-13-000012;2012-12-31
0000889348-13-000009;2012-12-31
0001415889-13-000512;2012-12-31
0001020710-13-000008;2012-12-31
0001105472-13-000012;2012-12-31
0001372167-13-000019;2011-09-30
0001348259-13-000047;2012-12-31
0001375247-13-000002;2012-12-31
0001404306-13-000008;2012-12-31
0001193125-13-087670;2012-12-31
0001079974-13-000157;2012-09-30
0001532619-13-000017;2012-12-31
0001052918-13-000107;2012-12-31
0001099910-13-000075;2012-12-31
0001553350-13-000061;2012-12-31
0001062993-13-002086;2012-12-31
0001137171-13-000158;2012-12-31
0001062993-13-001563;2012-12-31
0001178924-13-000057;2012-12-31
0001446687-13-000025;2012-12-31
0001096906-13-000871;2012-12-31
0001448788-13-000081;2011-12-31
0001193805-13-000977;2012-12-31
0001262463-13-000255;2012-12-31
0000107140-13-000023;2013-04-30
0000726514-13-000061;2013-03-30
0001262463-13-000418;2012-06-30
0001002014-13-000277;2012-12-31
0001543679-13-000039;2013-02-28
0001157523-13-003318;2013-04-28
0001477932-13-003221;2013-03-31
0001554906-13-000009;2013-04-30
0000070502-13-000299;2013-05-31
0001524829-13-000061;2013-04-30
0001372167-13-000095;2013-04-30
0000098618-13-000011;2013-06-30
0000100378-13-000044;2013-06-30
0001144204-13-051384;2013-06-30
0001354488-13-005437;2013-06-30
0001273511-13-000077;2013-05-31
0001171520-13-000639;2013-06-30
0001524777-13-000454;2013-06-30
0001096906-13-001731;2013-08-31
0001019687-13-004444;2013-08-31
0001354488-13-005958;2013-08-31
0001469709-13-000674;2013-07-31
0001079973-13-000676;2013-08-31
0001078782-13-002474;2013-09-30
0001095435-13-000089;2013-03-31
0001554795-13-000754;2013-09-30
0001338624-14-000003;2013-09-30
0001338624-14-000005;2013-09-30
0001091818-14-000028;2013-09-30
0000768251-14-000008;2013-12-31
0000866829-14-000006;2013-12-31
0000895417-14-000018;2013-12-31
0000916365-14-000056;2013-12-28
0000939767-14-000009;2013-12-31
0001000229-14-000025;2013-12-31
0001193125-14-072955;2013-12-29
0001105472-14-000021;2013-12-31
0001095435-14-000011;2013-03-31
0001372167-14-000039;2013-09-30
0001047469-14-001034;2013-12-31
0001594062-14-000045;2013-08-31
0001390844-14-000004;2013-12-31
0001062993-14-000941;2013-11-30
0001504167-14-000084;2013-10-31
0001554795-14-000104;2013-09-30
0001173375-14-000027;2013-10-31
0000081061-14-000002;2013-12-28
0000095552-14-000006;2013-12-31
